product_name,url,target_price
Narzo 60x,https://www.flipkart.com/realme-narzo-60x-5g-stellar-green-128-gb/p/itm906a3c913a97f,16000
Boat Airdopes,https://www.flipkart.com/boat-airdopes-supreme-w-4-mics-ai-enx-tech-50-hrs-playback-multi-point-connectivity-bluetooth/p/itm47a93966ad11e?pid=ACCGWU2ABQ3EAUM8&lid=LSTACCGWU2ABQ3EAUM8HJZGWE&marketplace=FLIPKART&store=0pm%2Ffcn%2F821&srno=b_1_10&otracker=browse&fm=organic&iid=f39188bc-82b1-4c56-95d6-387694c9259f.ACCGWU2ABQ3EAUM8.SEARCH&ppt=sp&ppn=productListView&ssid=3lq5216bc00000001759785231949,999
